DEP,Libelle,nb_communes,total_communes,pct_communes,pop_equip,total_pop,pct_pop
04,police,1,198,"0,005050505051","15482,75","153146,5","0,1010976418"
04,gendarmerie,28,198,"0,1414141414","84407,5","153146,5","0,5511552664"
04,reseau_de_proximite_pole_emploi,3,198,"0,01515151515",44276,"153146,5","0,2891087945"
04,aeroport,0,198,0,0,"153146,5",0
04,gare_de_voyageurs_d_interet_national,0,198,0,0,"153146,5",0
04,gare_de_voyageurs_d_interet_regional,3,198,"0,01515151515","29864,75","153146,5","0,1950077214"
04,gare_de_voyageurs_d_interet_local,9,198,"0,04545454545","7735,5","153146,5","0,05051045894"
04,implantations_france_services_ifs,15,198,"0,07575757576","71208,5","153146,5","0,4649698165"
04,bureau_de_poste,43,198,"0,2171717172","113800,25","153146,5","0,7430809715"
04,agence_postale,48,198,"0,2424242424","26056,5","153146,5","0,1701410088"
04,ecole_maternelle,26,198,"0,1313131313","82351,5","153146,5","0,5377302126"
04,ecole_primaire,74,198,"0,3737373737",103365,"153146,5","0,6749419673"
04,ecole_elementaire,35,198,"0,1767676768","85072,75","153146,5","0,5554991462"
04,college,18,198,"0,09090909091","75974,25","153146,5","0,4960887124"
04,lycee_d_enseignement_general_et_ou_technologique,4,198,"0,0202020202","46781,5","153146,5","0,3054689464"
04,lycee_d_enseignement_professionnel,2,198,"0,0101010101",37331,"153146,5","0,2437600598"
04,lycee_d_enseignement_technique_et_ou_professionnel_agricole,2,198,"0,0101010101","5600,5","153146,5","0,03656955921"
04,etablissement_sante_court_sejour,7,198,"0,03535353535",50988,"153146,5","0,3329361102"
04,etablissement_sante_moyen_sejour,10,198,"0,05050505051","58417,5","153146,5","0,3814484823"
04,etablissement_sante_long_sejour,2,198,"0,0101010101","23078,25","153146,5","0,1506939434"
04,urgences,3,198,"0,01515151515",44276,"153146,5","0,2891087945"
04,maternite,2,198,"0,0101010101",37331,"153146,5","0,2437600598"
04,dialyse,3,198,"0,01515151515",44276,"153146,5","0,2891087945"
04,medecin_generaliste,43,198,"0,2171717172","115004,75","153146,5","0,7509459896"
04,chirurgien_dentiste,29,198,"0,1464646465","102512,25","153146,5","0,6693737696"
